カテゴリ,施設名,郵便番号,所在地,住所,番地,法人・団体名,確認・許可年月日,種別,旧種別,登録期限,保健所
理容所,Ａｍｂｅｒ Ｊａｃｋ,520-3037,栗東市北中小路,栗東市北中小路４１３－１,４１３－１,,H17/03/30,,,,草津
理容所,ａｔｔｅｎ ｄｒｉｒ,520-2416,野洲市堤,野洲市堤２０６０－２,２０６０－２,,H17/06/21,,,,草津
理容所,ＢＡＲ ＢＥＲ 井上,520-3015,栗東市安養寺六丁目,栗東市安養寺六丁目６－３７,６－３７,,S60/12/12,,,,草津
理容所,Ｂａｒ Ｂｅｒ ＧＯＬＬＹ,525-0055,草津市野路町,草津市野路町１５４５,１５４５,,H14/03/20,,,,草津
理容所,ＢＡＲ ＢＥＲ ＳＨＯＰ 梅,524-0044,守山市古高町,守山市古高町４５１－１,４５１－１,,H17/11/03,,,,草津
理容所,Ｂａｒ Ｂｅｒ ＹＡＭＡＭＯＴＯ,525-0032,草津市大路一丁目,草津市大路一丁目４－２８,４－２８,,S37/04/07,,,,草津
理容所,ＢＡＲＢＥＲ ＧＬＡＤ,525-0027,草津市野村八丁目,草津市野村八丁目６－２２,６－２２,,H18/11/10,,,,草津
理容所,Ｂａｒｂｅｒ 壱,525-0061,草津市北山田町,草津市北山田町５８－４,５８－４,,H20/07/08,,,,草津
理容所,ＣＲＡＺＥ Ｈａｉｒ,525-0061,草津市北山田町,草津市北山田町２８６,２８６,,H20/03/20,,,,草津
理容所,ＣＵＴ ＢＯＸ ＴＡＫＡ,525-0054,草津市東矢倉一丁目,草津市東矢倉一丁目２－２,２－２,,H14/09/10,,,,草津
理容所,ＥＴＳＵＫＯ ＨＡＩＲ ＭＡＫＥ,525-0037,草津市西大路町,草津市西大路町４－３２ エストピアプラザ ２Ｆ,４－３２ エストピアプラザ ２Ｆ,,H14/10/11,,,,草津
理容所,Ｈａｉｒ ＆ Ｆａｃｅ ａｒｔｅｍｉ ｓ,525-0027,草津市野村一丁目,草津市野村一丁目２６－１１ パステルエイト ２,２６－１１ パステルエイト ２,,H16/05/29,,,,草津
理容所,ＨＡＩＲ ＣＨＡＮＧＥ Ｔ’,520-2323,野洲市三上,野洲市三上４６０－２,４６０－２,,H07/11/02,,,,草津
理容所,ＨＡＩＲ ＭＡＫＥ Ｉ’Ｓ,520-2304,野洲市永原,野洲市永原１０１８－３,１０１８－３,,S45/01/20,,,,草津
理容所,ｈａｉｒ ｍｏｄｅ ニシデ,524-0012,守山市播磨田町,守山市播磨田町１１３８－１,１１３８－１,,S58/01/11,,,,草津
理容所,ＨＡＩＲ ＳＡＬＯＮ オンリー１,524-0041,守山市勝部五丁目,守山市勝部五丁目３－３６,３－３６,,H18/10/20,,,,草津
理容所,Ｈａｉｒ Ｔａｎｉｇｕｃｈｉ,524-0011,守山市今市町,守山市今市町２９－４,２９－４,,S52/10/21,,,,草津
理容所,ＩＢＩＺＡ,524-0043,守山市二町町,守山市二町町３０－４８,３０－４８,,H19/12/18,,,,草津
理容所,ｉｍｐｒｅｓｓ,525-0066,草津市矢橋町,草津市矢橋町３０６－１,３０６－１,,H13/09/14,,,,草津
理容所,ＬＥＡＦ,520-3045,栗東市高野,栗東市高野５０３－３,５０３－３,,H16/01/13,,,,草津
理容所,ＬｏｏＰ（ループ）,525-0023,草津市平井六丁目,草津市平井六丁目８－３１,８－３１,,H12/10/20,,,,草津
理容所,ＱＢハウス アルプラザ野洲店,520-2331,野洲市小篠原,野洲市小篠原１０００ アルプラザ野洲１ Ｆ,１０００ アルプラザ野洲１ Ｆ,キュービーネット株式会社,R06/10/18,,,,草津
理容所,ＳｉＳｉｍｕｏａ（シシムーア）,525-0035,草津市西草津二丁目,草津市西草津二丁目３－１３,３－１３,,H12/11/24,,,,草津
理容所,ＳＷＩＴＣＨ ＯＮ,520-3031,栗東市綣九丁目,栗東市綣九丁目１２－１４,１２－１４,,H19/09/28,,,,草津
理容所,ＴＩＭＮＡＲ ティンナール,524-0022,守山市守山六丁目,守山市守山六丁目１０－７３,１０－７３,,H20/07/01,,,,草津
理容所,ＥＲｄｅ Ｔｓｕｊｉ,524-0104,守山市木浜町,守山市木浜町１８５６－１,１８５６－１,有限会社おしゃれサロンツ ジ,S60/03/26,,,,草津
理容所,おしゃれの館 カズ,524-0061,守山市赤野井町,守山市赤野井町２４４－２,２４４－２,,H03/12/11,,,,草津
理容所,おしゃれの館 ツヂ,524-0022,守山市守山三丁目,守山市守山三丁目２４－１５,２４－１５,有限会社おしゃれの館グル －プ,S61/09/12,,,,草津
理容所,髪のＷＡ タナカ,520-2352,野洲市冨波乙,野洲市冨波乙６８１－４２,６８１－４２,,H07/08/01,,,,草津
理容所,オダ理容,525-0063,草津市南山田町,草津市南山田町８２８,８２８,,S47/04/01,,,,草津
理容所,カット ハウス ムラキ,525-0014,草津市駒井沢町,草津市駒井沢町７０－４,７０－４,,H07/12/06,,,,草津
理容所,カット・プラザ にしうら,525-0054,草津市東矢倉二丁目,草津市東矢倉二丁目８－３,８－３,,H02/12/15,,,,草津
理容所,カットサロン カタヤマ,524-0102,守山市水保町,守山市水保町１２６９－６,１２６９－６,,S56/11/09,,,,草津
理容所,カットサロン コスモー,520-2361,野洲市北野一丁目,野洲市北野一丁目１５－３３,１５－３３,,H20/06/10,,,,草津
理容所,カットサロン タニムラ,520-2313,野洲市大篠原,野洲市大篠原１７４４－３,１７４４－３,,S54/05/15,,,,草津
理容所,カットサロン フジタ,525-0034,草津市草津二丁目,草津市草津二丁目５－１７,５－１７,,S43/06/29,,,,草津
理容所,カットハウス Ｂｉｌｌｙ Ｈｏｌｌｙ,524-0011,守山市今市町,守山市今市町１１３－５,１１３－５,,H15/03/07,,,,草津
理容所,カットハウス キャッツ,525-0034,草津市草津四丁目,草津市草津四丁目８－１９,８－１９,,H15/03/18,,,,草津
理容所,カットハウス クイーン,520-3031,栗東市綣二丁目,栗東市綣二丁目２－３４ ウイングビュー１ Ｆ,２－３４ ウイングビュー１ Ｆ,,H19/09/01,,,,草津
理容所,カットハウス とんぼ,524-0015,守山市矢島町,守山市矢島町１２００,１２００,,H06/07/12,,,,草津
理容所,カットハウス ホラグチ,520-3047,栗東市手原二丁目,栗東市手原二丁目７－３,７－３,有限会社ヘアーサロン ホ ラグチ,H10/12/02,,,,草津
理容所,カットハウス 山次,524-0012,守山市播磨田町,守山市播磨田町１１５－５,１１５－５,,H20/06/04,,,,草津
理容所,keren hair’s matahari,520-3015,栗東市安養寺一丁目,栗東市安養寺一丁目１－１１,１－１１,,H19/03/15,,,,草津
理容所,カット倶楽部 ＴＷＩＳＴ,520-3005,栗東市御園,栗東市御園１８６４－１,１８６４－１,,H06/04/05,,,,草津
理容所,カツベ理容,524-0041,守山市勝部一丁目,守山市勝部一丁目１２－４３,１２－４３,,S54/10/31,,,,草津
理容所,キシモト,524-0015,守山市矢島町,守山市矢島町１２２４,１２２４,,S51/11/25,,,,草津
理容所,グランドビューティプラザナガタ理容室,525-0033,草津市東草津三丁目,草津市東草津三丁目３－１４,３－１４,,H08/05/29,,,,草津
理容所,さんぱつのお店 よこた,525-0011,草津市片岡町,草津市片岡町２２１－１,２２１－１,,H01/04/11,,,,草津
理容所,とこや ハーフポテト,525-0066,草津市矢橋町,草津市矢橋町１２７－１,１２７－１,,S62/03/20,,,,草津
理容所,ナショナル理容店,525-0058,草津市野路東五丁目,草津市野路東五丁目２６－３８,２６－３８,,S48/06/19,,,,草津
理容所,バーバー オン ベルベット,525-0071,草津市南笠東二丁目,草津市南笠東二丁目７－７ ＹＫＳビル３Ｆ,７－７ ＹＫＳビル３Ｆ,,H11/09/09,,,,草津
理容所,ハジメちゃんの館,525-0061,草津市北山田町,草津市北山田町８１９,８１９,,H22/12/28,,,,草津
理容所,ハチヤ理容所,520-3021,栗東市蜂屋,栗東市蜂屋２０４－１,２０４－１,,S41/08/10,,,,草津
理容所,ひさいずみ理容店,525-0063,草津市南山田町,草津市南山田町３７０,３７０,,S40/04/15,,,,草津
理容所,ファミリーサロン いぐち,525-0023,草津市平井一丁目,草津市平井一丁目４－２３,４－２３,,S54/07/28,,,,草津
理容所,ヘアー ドゥ フェリオ,525-0023,草津市平井二丁目,草津市平井二丁目１－３,１－３,,H13/03/02,,,,草津
理容所,ヘアーサロン ＯＰＡＳ,524-0043,守山市二町町,守山市二町町１９０－１,１９０－１,,H19/11/16,,,,草津
理容所,ヘアーサロン あひる,525-0071,草津市南笠東一丁目,草津市南笠東一丁目６－３３,６－３３,,H14/01/29,,,,草津
理容所,ヘアーサロン アレジ,524-0102,守山市水保町,守山市水保町１２５５－７０,１２５５－７０,,H07/10/20,,,,草津
理容所,ヘアーサロン イシカワ,520-2300,野洲市近江富士二丁目,野洲市近江富士二丁目１５－１６,１５－１６,,H07/05/10,,,,草津
理容所,ヘアーサロン かたやま,520-3041,栗東市出庭,栗東市出庭１５０８,１５０８,,H18/06/06,,,,草津
理容所,ヘアーサロン グー,520-3031,栗東市綣二丁目,栗東市綣二丁目５－４－１－２,５－４－１－２,,H11/01/28,,,,草津
理容所,ヘアー＆ビューティサロン ナカガワ,520-3031,栗東市綣七丁目,栗東市綣七丁目７－１３,７－１３,,S47/04/10,,,,草津
理容所,ヘアーサロン レビュー,525-0027,草津市野村二丁目,草津市野村二丁目１－９ グランシティー西大 路１Ｆ,１－９ グランシティー西大 路１Ｆ,,H11/07/07,,,,草津
理容所,ヘアーサロン 村田,525-0014,草津市駒井沢町,草津市駒井沢町１８６－５,１８６－５,,H11/10/04,,,,草津
理容所,ヘアーサロン岸,524-0022,守山市守山一丁目,守山市守山一丁目９－８,９－８,,S63/10/29,,,,草津
理容所,ヘアーズ・さくらい,520-2351,野洲市冨波甲,野洲市冨波甲１１７３－１１,１１７３－１１,,H11/10/01,,,,草津
理容所,ヘアードレッサー ゆかり,525-0053,草津市矢倉二丁目,草津市矢倉二丁目２－５,２－５,,H06/05/02,,,,草津
理容所,ヘアークリエイトサロン クロダ,525-0066,草津市矢橋町,草津市矢橋町１８－９,１８－９,,S54/07/17,,,,草津
理容所,ｈａｉｒ ｓｐｏｔ ＵＥＭＵＲＡ,520-2331,野洲市小篠原,野洲市小篠原８２６－６,８２６－６,,S60/12/12,,,,草津
理容所,ヘアーサロン ウメノ,524-0053,守山市横江町,守山市横江町２２２－２２,２２２－２２,,S63/04/24,,,,草津
理容所,ヘアーサロン さかがみ,525-0066,草津市矢橋町,草津市矢橋町２３－５０,２３－５０,,H02/03/20,,,,草津
理容所,ヘアーサロン ユウメン,525-0035,草津市西草津一丁目,草津市西草津一丁目７－６,７－６,,S60/07/22,,,,草津
理容所,ヘアーサロン 河合,520-3015,栗東市安養寺二丁目,栗東市安養寺二丁目１２－２７,１２－２７,,S52/09/06,,,,草津
理容所,ヘアーサロン アラガ,525-0055,草津市野路町,草津市野路町１０８２－７,１０８２－７,,H20/08/21,,,,草津
理容所,ヘアサロン オクムラ,524-0031,守山市立入町,守山市立入町２５６－２,２５６－２,,H12/07/10,,,,草津
理容所,ヘアーサロン さわ,520-2341,野洲市行畑二丁目,野洲市行畑二丁目１１－１９,１１－１９,,S57/12/14,,,,草津
理容所,ヘアーサロン たにぐち,525-0065,草津市橋岡町,草津市橋岡町２３－２５,２３－２５,,S59/11/09,,,,草津
理容所,ヘアーサロン ダンヒル,525-0028,草津市上笠二丁目,草津市上笠二丁目６－２１上笠ハイツ１－３号,６－２１上笠ハイツ１－３号,,S60/07/02,,,,草津
理容所,ヘアーサロン とこちょう,525-0032,草津市大路一丁目,草津市大路一丁目１－１－１１４,１－１－１１４,,H05/03/08,,,,草津
理容所,ヘアーサロン トモ,525-0023,草津市平井四丁目,草津市平井四丁目３－３２,３－３２,,S52/07/19,,,,草津
理容所,ヘアーサロン ニシムラ,525-0026,草津市渋川一丁目,草津市渋川一丁目６－９,６－９,,H05/02/10,,,,草津
理容所,ヘアーサロン ノムラ,520-2342,野洲市野洲,野洲市野洲２９１,２９１,,S60/03/30,,,,草津
理容所,ヘアーサロン ふじおか,520-3024,栗東市小柿一丁目,栗東市小柿一丁目４－５,４－５,,H04/10/09,,,,草津
理容所,ヘアーサロン フジタ,525-0034,草津市草津一丁目,草津市草津一丁目４－３０,４－３０,,S55/09/30,,,,草津
理容所,ヘアーサロン ヨシダ,525-0034,草津市草津一丁目,草津市草津一丁目８－１０,８－１０,,S34/02/01,,,,草津
理容所,ヘアーサロン 松山,525-0054,草津市東矢倉二丁目,草津市東矢倉二丁目１－１,１－１,,S52/02/22,,,,草津
理容所,ヘアーサロン 日進,520-2333,野洲市栄,野洲市栄２９－２３,２９－２３,,S58/08/04,,,,草津
理容所,ヘアーサロン 利帆,520-2361,野洲市北野一丁目,野洲市北野一丁目６－２,６－２,,S54/03/28,,,,草津
理容所,ヘアスタジオ ポラリス,524-0021,守山市吉身三丁目,守山市吉身三丁目１１－１５ 南貸ビル１－Ｃ,１１－１５ 南貸ビル１－Ｃ,,H19/03/28,,,,草津
理容所,ヘアーデザイン 戸嶋,520-3005,栗東市御園,栗東市御園１０２８ トレセンショップ 内,１０２８ トレセンショップ 内,,S60/09/24,,,,草津
理容所,ヘアープラザ ニシ,525-0054,草津市東矢倉二丁目,草津市東矢倉二丁目９－１４,９－１４,,S60/04/24,,,,草津
理容所,ヘヤーサロン ナカガワ,525-0006,草津市志那中町,草津市志那中町３６４－３,３６４－３,,S36/06/05,,,,草津
理容所,みずほ理容所,524-0102,守山市水保町,守山市水保町４７５－１,４７５－１,,S50/09/01,,,,草津
理容所,めんず るーむ はぶ,525-0055,草津市野路町,草津市野路町６６８－１０,６６８－１０,,H07/11/01,,,,草津
理容所,メンズサロンブルート,525-0000,草津市笠山一丁目,草津市笠山一丁目８－３４,８－３４,,H17/03/09,,,,草津
理容所,ラルジュ,525-0066,草津市矢橋町,草津市矢橋町１６６０（草津総合病院内２ Ｆ）,１６６０（草津総合病院内２ Ｆ）,有限会社ラルジュ,H19/03/30,,,,草津
理容所,リーフ理容赤坂店,520-3016,栗東市小野,栗東市小野１０４２,１０４２,,S62/04/13,,,,草津
理容所,わしだ理容院,520-3023,栗東市坊袋,栗東市坊袋２,２,,S42/04/25,,,,草津
理容所,浦山理容所,520-2351,野洲市冨波甲,野洲市冨波甲８７７－１,８７７－１,,S53/10/17,,,,草津
理容所,永尾理容所,524-0104,守山市木浜町,守山市木浜町１８３７－１,１８３７－１,,S37/11/10,,,,草津
理容所,横田理容所,525-0029,草津市下笠町,草津市下笠町１０４３,１０４３,,S47/12/25,,,,草津
理容所,岡田理容院,525-0028,草津市上笠二丁目,草津市上笠二丁目２８－１５,２８－１５,,H11/07/26,,,,草津
理容所,高林理容,520-2421,野洲市野田,野洲市野田１６５４－１,１６５４－１,,H06/01/26,,,,草津
理容所,済生会滋賀病院,520-3046,栗東市大橋二丁目,栗東市大橋二丁目４－１,４－１,（社福）済生会滋賀県病院,S56/05/02,,,,草津
理容所,散髪屋 さんきち 守山店,524-0022,守山市守山六丁目,守山市守山六丁目１２－１２,１２－１２,有限会社ラルジュ,H15/04/07,,,,草津
理容所,小林理容所,520-3031,栗東市綣七丁目,栗東市綣七丁目８－１３,８－１３,,S52/12/03,,,,草津
理容所,西村理容所,524-0211,守山市小浜町,守山市小浜町１３２２－１,１３２２－１,,H07/02/07,,,,草津
理容所,石井理容所,520-2331,野洲市小篠原,野洲市小篠原３８６－３,３８６－３,,H07/11/21,,,,草津
理容所,石田理容院,525-0004,草津市上寺町,草津市上寺町３５０,３５０,,S50/07/30,,,,草津
理容所,草津合同庁舎内 理容室,525-0034,草津市草津三丁目,草津市草津三丁目１４－７５,１４－７５,,S63/09/28,,,,草津
理容所,太田理容,520-3004,栗東市上砥山,栗東市上砥山１４５２,１４５２,,S43/01/19,,,,草津
理容所,竹村理容所,520-2423,野洲市西河原,野洲市西河原３１３－２,３１３－２,,H06/06/13,,,,草津
理容所,中井理容所,525-0027,草津市野村二丁目,草津市野村二丁目４－６,４－６,,S45/10/28,,,,草津
理容所,中川理容所,525-0059,草津市野路五丁目,草津市野路五丁目９－５,９－５,,H07/05/09,,,,草津
理容所,中川理容店,525-0041,草津市青地町,草津市青地町４７９－２,４７９－２,,S53/07/18,,,,草津
理容所,日進理容店,524-0021,守山市吉身一丁目,守山市吉身一丁目４－１,４－１,,S51/06/15,,,,草津
理容所,髪スタジオ・ホラグチ,524-0021,守山市吉身二丁目,守山市吉身二丁目８－２１,８－２１,有限会社髪スタジオ・ホラ グチ,H16/04/26,,,,草津
理容所,髪切屋 くわがた,525-0054,草津市東矢倉四丁目,草津市東矢倉四丁目２－７,２－７,,H20/03/31,,,,草津
理容所,有限会社ヘアーサロン ノムラ,520-2342,野洲市野洲,野洲市野洲９４１－３,９４１－３,,H03/12/14,,,,草津
理容所,有限会社ヘアーサロン ホラグチ,525-0027,草津市野村六丁目,草津市野村六丁目３－２２,３－２２,有限会社ヘアーサロン ホ ラグチ,H05/03/22,,,,草津
理容所,理容 中沢,524-0004,守山市笠原町,守山市笠原町７０６,７０６,,H08/11/28,,,,草津
理容所,理容・アキナガ,524-0002,守山市小島町,守山市小島町１５６４－３,１５６４－３,,S55/07/01,,,,草津
理容所,理容ＩＮ理栄,525-0071,草津市南笠東四丁目,草津市南笠東四丁目９－６９,９－６９,,H06/01/06,,,,草津
理容所,理容アキラ,524-0046,守山市今宿一丁目,守山市今宿一丁目２－１７,２－１７,,S62/11/24,,,,草津
理容所,理容いこい,520-3005,栗東市御園,栗東市御園４７０－１,４７０－１,,H02/10/23,,,,草津
理容所,理容イマエ,524-0103,守山市洲本町,守山市洲本町１３５６－２,１３５６－２,,S46/12/21,,,,草津
理容所,Ｃｕｔ Ｃｌｕｂ ＤＲＩＦＴ,520-2401,野洲市吉川,野洲市吉川３６００－３,３６００－３,,H05/10/28,,,,草津
理容所,理容キムラ,524-0215,守山市幸津川町,守山市幸津川町１３８２－３,１３８２－３,,S23/07/01,,,,草津
理容所,理容サービス,524-0037,守山市梅田町,守山市梅田町２１５－１守山駅前プラザ２ Ｆ,２１５－１守山駅前プラザ２ Ｆ,,H03/05/11,,,,草津
理容所,理容スギタ,525-0054,草津市東矢倉二丁目,草津市東矢倉二丁目４－３８,４－３８,,H11/06/25,,,,草津
理容所,理容たむら,525-0066,草津市矢橋町,草津市矢橋町８８４－７,８８４－７,,S59/11/16,,,,草津
理容所,理容とみ,525-0037,草津市西大路町,草津市西大路町６－２４,６－２４,,S50/05/17,,,,草津
理容所,理容プラーナ イオン野洲店,520-2435,野洲市乙窪,野洲市乙窪４８０－１ イオン野洲店内,４８０－１ イオン野洲店内,,H22/07/30,,,,草津
理容所,理容プラージュ草津店,525-0032,草津市大路一丁目,草津市大路一丁目１１－８ ジュンビル１Ｆ,１１－８ ジュンビル１Ｆ,阪南理美容株式会社,H16/05/17,,,,草津
理容所,理容ホリイ,525-0034,草津市草津四丁目,草津市草津四丁目３－２４,３－２４,,S45/09/19,,,,草津
理容所,理容ホンダ,524-0037,守山市梅田町,守山市梅田町９８－６,９８－６,,S53/01/13,,,,草津
理容所,理容マツイ,525-0016,草津市北大萱町,草津市北大萱町４７９,４７９,,S51/09/25,,,,草津
理容所,理容ミウラ,524-0061,守山市赤野井町,守山市赤野井町１２６－１,１２６－１,,H12/03/29,,,,草津
理容所,理容みやぎ,520-3047,栗東市手原四丁目,栗東市手原四丁目５－３,５－３,,S52/06/21,,,,草津
理容所,理容ミヤハラ,520-2351,野洲市冨波甲,野洲市冨波甲１１７３－１１,１１７３－１１,,H03/09/11,,,,草津
理容所,理容ヤス,520-2412,野洲市六条,野洲市六条４８５－１２,４８５－１２,,S55/09/09,,,,草津
理容所,理容ヤマダ,520-2413,野洲市吉地,野洲市吉地１３２５,１３２５,,H01/11/02,,,,草津
理容所,理容金田,525-0046,草津市追分町,草津市追分町７８４－１２３,７８４－１２３,,S51/10/29,,,,草津
理容所,理容山口,520-3012,栗東市岡,栗東市岡１９４－７,１９４－７,,S51/07/21,,,,草津
理容所,理容室 若竹,525-0026,草津市渋川一丁目,草津市渋川一丁目８－１７,８－１７,,H13/10/31,,,,草津
理容所,理容室タナカ,520-2304,野洲市永原,野洲市永原５８４,５８４,,H01/02/13,,,,草津
理容所,理容室テラダ,524-0021,守山市吉身一丁目,守山市吉身一丁目１－４,１－４,,S59/11/21,,,,草津
理容所,Ｈａｉｒ＆Ｆａｃｅ ｓａｌｏｎ Ｏｈ ｍａｅ,520-2353,野洲市久野部,野洲市久野部１５０－２２,１５０－２２,,S43/10/07,,,,草津
理容所,理容池田,524-0022,守山市守山二丁目,守山市守山二丁目５－１１,５－１１,,S49/02/01,,,,草津
理容所,理容長野,525-0028,草津市上笠三丁目,草津市上笠三丁目１７－７,１７－７,,S51/08/10,,,,草津
理容所,理容店 ざ座,525-0000,草津市笠山三丁目,草津市笠山三丁目２－６,２－６,,H16/09/22,,,,草津
理容所,理容田中,525-0034,草津市草津一丁目,草津市草津一丁目３－１２,３－１２,,S50/02/26,,,,草津
理容所,ヘアーデザイン Ｗｉｌｌ－Ｂ,524-0012,守山市播磨田町,守山市播磨田町１３０２－８,１３０２－８,,H21/05/01,,,,草津
理容所,ヘアーサロンＭＯＲＩ,524-0046,守山市今宿一丁目,守山市今宿一丁目３－１６,３－１６,,H21/08/19,,,,草津
理容所,Ｇｒｅｅｎ Ｈａｉｒ,525-0034,草津市草津二丁目,草津市草津二丁目１６－１７,１６－１７,,H21/10/07,,,,草津
理容所,ｉｎｎａ ＨＡＩＲ ＤＥＳＩＧＮ Ｙ ＡＭＡＤＡ,525-0029,草津市下笠町,草津市下笠町１０２７－７,１０２７－７,,H22/02/04,,,,草津
理容所,カットサロン ヤマナカ,523-0044,近江八幡市篠原町一丁 目,近江八幡市篠原町一丁 目１１－４,１１－４,,S57/01/06,,,,東近江
理容所,カットスペース たけむら,527-0025,東近江市八日市東本町,東近江市八日市東本町３－２３,３－２３,,H06/09/20,,,,東近江
理容所,カットハウス ＲＩＫＩ,523-0005,近江八幡市末広町,近江八幡市末広町３６２,３６２,,H14/04/04,,,,東近江
理容所,カットハウス しゃぼん,521-1222,東近江市佐野町,東近江市佐野町５６－９,５６－９,,H13/09/19,,,,東近江
理容所,カットハウス スズキ,527-0046,東近江市妙法寺町,東近江市妙法寺町大林６９３－２,大林６９３－２,,H05/05/18,,,,東近江
理容所,カットハウス ハシノ,521-1311,近江八幡市安土町下豊 浦,近江八幡市安土町下豊 浦４５９３－２,４５９３－２,,S63/02/16,,,,東近江
理容所,カットハウス フジイ,527-0013,東近江市東中野町,東近江市東中野町７－３０,７－３０,,H06/01/13,,,,東近江
理容所,カットハウス 髪風船,521-1222,東近江市佐野町,東近江市佐野町４２０－４,４２０－４,,H05/01/05,,,,東近江
理容所,カットハウスアカザワ,529-1603,蒲生郡日野町大窪,蒲生郡日野町大窪１０２２,１０２２,,H20/09/26,,,,東近江
理容所,カットハウスこいずみ,527-0231,東近江市山上町,東近江市山上町１２４８－１,１２４８－１,,H07/02/08,,,,東近江
理容所,カットハウス床龍,523-0877,近江八幡市池田町四丁 目,近江八幡市池田町四丁 目１８,１８,,H11/09/28,,,,東近江
理容所,キムラ理容院,520-2561,蒲生郡竜王町須惠,蒲生郡竜王町須惠１０６５,１０６５,,H09/01/28,,,,東近江
理容所,キムラ理容所,527-0212,東近江市永源寺高野町,東近江市永源寺高野町２８６,２８６,,H06/04/06,,,,東近江
理容所,こにし理容店,523-0806,近江八幡市北之庄町,近江八幡市北之庄町１１６１,１１６１,,S45/05/21,,,,東近江
理容所,サカエ理容室,520-2531,蒲生郡竜王町山之上,蒲生郡竜王町山之上２４７６,２４７６,,H11/03/30,,,,東近江
理容所,サロン ド ジョイ,523-0075,近江八幡市野村町,近江八幡市野村町３０７－４,３０７－４,,S62/09/24,,,,東近江
理容所,サワムラ理容所,527-0039,東近江市青葉町,東近江市青葉町１－２７,１－２７,,S44/04/28,,,,東近江
理容所,しが理容 のと川店,521-1231,東近江市能登川町,東近江市能登川町５０－４,５０－４,,H14/04/17,,,,東近江
理容所,スオウ理容院,523-0887,近江八幡市西元町,近江八幡市西元町５,５,,H03/12/06,,,,東近江
理容所,たけだ理容店,521-1311,近江八幡市安土町下豊 浦,近江八幡市安土町下豊 浦５０９６ Ｋマート前,５０９６ Ｋマート前,,S53/07/27,,,,東近江
理容所,タニ理容所,527-0025,東近江市八日市東本町,東近江市八日市東本町５－３２,５－３２,,S47/11/27,,,,東近江
理容所,トメサ理容院,521-1351,近江八幡市安土町常楽 寺,近江八幡市安土町常楽 寺３００,３００,,S51/06/23,,,,東近江
理容所,パーラー ラムセス,527-0055,東近江市瓜生津町,東近江市瓜生津町１３－１６,１３－１６,,H05/07/14,,,,東近江
理容所,ひかり理容所,529-1628,蒲生郡日野町西大路,蒲生郡日野町西大路２１１６－４,２１１６－４,,S44/07/01,,,,東近江
理容所,ひかり理容所,523-0058,近江八幡市加茂町,近江八幡市加茂町２９６５,２９６５,,S39/11/02,,,,東近江
理容所,ヒナガ理容所,529-1537,東近江市市子殿町,東近江市市子殿町３０３,３０３,,S43/12/01,,,,東近江
理容所,ビューティーセクション チャウズ,529-1601,蒲生郡日野町松尾,蒲生郡日野町松尾３－７ ２Ｆ,３－７ ２Ｆ,,S63/11/22,,,,東近江
理容所,ファミリーサロン ヨネクラ,523-0031,近江八幡市堀上町,近江八幡市堀上町１７０,１７０,,H18/09/29,,,,東近江
理容所,ファミリーヘアーサロン いわさき,527-0063,東近江市大森町,東近江市大森町１５５５,１５５５,,S58/12/16,,,,東近江
理容所,フィール,523-0857,近江八幡市八幡町,近江八幡市八幡町４８－１６,４８－１６,,H14/11/28,,,,東近江
理容所,ふじた理容,527-0103,東近江市湯屋町,東近江市湯屋町１２７８,１２７８,,S60/10/01,,,,東近江
理容所,プラージュ八幡理容,523-0894,近江八幡市中村町,近江八幡市中村町１－２ 山添ビル１Ｆ,１－２ 山添ビル１Ｆ,阪南理美容株式会社,H04/07/31,,,,東近江
理容所,ヘアー モリキ,529-1601,蒲生郡日野町松尾,蒲生郡日野町松尾１５７８,１５７８,,H17/03/22,,,,東近江
理容所,ヘアーサロン Ｍ おく井,521-1311,近江八幡市安土町下豊 浦,近江八幡市安土町下豊 浦十七５０９６－１２７,十七５０９６－１２７,,H04/03/18,,,,東近江
理容所,ヘアーサロン いしばし,529-1402,東近江市五個荘七里町,東近江市五個荘七里町６５－７,６５－７,,S58/07/04,,,,東近江
理容所,ヘアーサロン カワバタ,523-0877,近江八幡市池田町四丁 目,近江八幡市池田町四丁 目３１,３１,,S49/02/08,,,,東近江
理容所,ヘアーサロン キタムラ,529-1413,東近江市五個荘簗瀬町,東近江市五個荘簗瀬町８４８－３,８４８－３,,H01/09/19,,,,東近江
理容所,ヘアーサロン クシダ,521-1225,東近江市山路町,東近江市山路町６９２,６９２,,H06/03/29,,,,東近江
理容所,ヘアーサロン コダマ,529-1541,東近江市蒲生堂町,東近江市蒲生堂町３４０－１２３,３４０－１２３,,H01/12/08,,,,東近江
理容所,ヘアーサロン コバヤシ,523-0037,近江八幡市東町,近江八幡市東町３１１,３１１,,H02/05/30,,,,東近江
理容所,ヘアーサロン コマイ,523-0004,近江八幡市西生来町,近江八幡市西生来町９３１－８,９３１－８,,H02/04/10,,,,東近江
理容所,ヘアーサロン シミズ,521-1222,東近江市佐野町,東近江市佐野町１９７,１９７,,H06/03/08,,,,東近江
理容所,ヘアーサロン スヤマ,523-0856,近江八幡市音羽町,近江八幡市音羽町１９－９,１９－９,,S57/02/24,,,,東近江
理容所,ヘアーサロン ソノダ,520-2573,蒲生郡竜王町鏡,蒲生郡竜王町鏡１１８５,１１８５,,S60/11/18,,,,東近江
